src,dst,w
it,tr,100.0
ar,fi,3.0
fi,ca,49.0
co,se,19.0
at,ie,17.0
ec,se,4.0
se,pk,24.0
pt,tr,16.0
au,eg,7.0
cl,mx,88.0
au,pt,29.0
dk,tr,22.0
pk,br,16.0
se,tw,10.0
ru,se,38.0
kr,es,19.0
ng,ca,55.0
be,gr,34.0
dk,gr,13.0
pe,cn,10.0
be,cl,29.0
mx,kr,11.0
za,it,16.0
bd,cl,1.0
dk,cl,9.0
cl,in,2.0
pk,ru,6.0
ec,pt,48.0
au,ua,1.0
id,ir,2.0
bd,tr,27.0
pt,cl,12.0
pe,in,5.0
ru,pe,8.0
ua,nl,11.0
be,za,36.0
dk,za,10.0
au,pe,14.0
my,es,12.0
au,pl,11.0
ie,cl,6.0
br,ru,17.0
nl,my,17.0
bd,gr,1.0
eg,ar,1.0
kr,mx,5.0
tw,it,10.0
ir,pl,7.0
ua,au,7.0
ir,ua,6.0
ng,mx,3.0
gr,kr,4.0
pl,in,8.0
ie,za,10.0
cl,cn,6.0
pl,mx,9.0
tr,eg,6.0
tr,id,7.0
ir,id,1.0
co,pl,2.0
my,mx,3.0
za,ar,1.0
ua,ie,3.0
ru,ng,8.0
bd,at,1.0
cn,mx,12.0
pt,za,17.0
tr,ua,4.0
za,my,3.0
tw,ar,1.0
id,pk,3.0
jp,ar,4.0
co,ng,1.0
br,bd,4.0
ec,id,1.0
tr,pe,1.0
bd,za,1.0
ec,ng,1.0
co,id,1.0
ec,pl,2.0
ru,ru,0.0
gr,gr,0.0
gb,fr,810.0
es,es,0.0
se,fr,136.0
dk,dk,0.0
in,pl,64.0
jp,cn,568.0
it,us,1044.0
bd,us,542.0
be,be,0.0
in,gb,993.0
at,tw,7.0
id,de,116.0
gb,nl,701.0
ie,us,270.0
br,gb,755.0
in,se,175.0
my,my,0.0
br,pe,255.0
br,pt,2132.0
de,eg,102.0
de,gb,1563.0
gb,de,1479.0
cn,jp,712.0
fr,tr,86.0
tw,cn,189.0
be,us,346.0
id,nl,230.0
us,tw,505.0
de,ua,38.0
it,be,294.0
cn,it,137.0
us,pk,152.0
jp,es,69.0
co,br,662.0
dk,us,326.0
in,pt,71.0
de,pt,202.0
fi,jp,23.0
se,de,309.0
pk,gb,260.0
fr,ch,719.0
gb,ie,628.0
gr,at,33.0
gb,au,1271.0
jp,ca,110.0
ng,my,257.0
be,co,30.0
tw,ca,27.0
fr,cl,114.0
ar,ec,101.0
se,nl,106.0
nl,ca,138.0
pt,dk,67.0
eg,cn,98.0
bd,kr,158.0
ca,tw,32.0
jp,in,114.0
ar,pe,61.0
eg,ca,119.0
se,au,109.0
it,dk,185.0
id,au,386.0
be,dk,49.0
es,in,55.0
at,ir,9.0
pl,it,91.0
es,ca,180.0
se,ie,22.0
de,pl,183.0
za,ca,46.0
bd,dk,10.0
za,in,55.0
my,jp,110.0
nl,es,231.0
es,mx,688.0
de,se,397.0
ru,br,12.0
br,se,100.0
ec,br,111.0
gr,ch,70.0
it,co,95.0
pt,us,305.0
ru,fi,97.0
au,bd,92.0
bd,be,25.0
tw,in,72.0
id,fr,46.0
au,fi,33.0
us,ir,99.0
au,br,181.0
nl,cn,185.0
fi,it,42.0
pt,be,151.0
dk,be,40.0
in,id,18.0
