src,dst,w
jp,ar,3.0
dk,cl,8.0
pl,mx,5.0
bd,at,3.0
tw,my,17.0
cl,in,5.0
ru,pt,11.0
bd,tr,21.0
be,cl,16.0
pk,br,25.0
au,ec,5.0
br,ru,4.0
ir,eg,1.0
mx,kr,7.0
pk,bd,3.0
co,id,1.0
ng,mx,10.0
pt,gr,17.0
tr,ng,7.0
ar,bd,1.0
ar,ru,3.0
bd,ch,8.0
kr,mx,5.0
ar,fi,8.0
au,eg,5.0
ir,ng,2.0
pt,za,6.0
ie,cl,4.0
co,ng,1.0
za,my,8.0
id,pk,6.0
tr,ua,1.0
ec,se,4.0
br,bd,2.0
id,ir,1.0
bd,gr,2.0
gr,kr,2.0
pe,in,1.0
ec,pl,1.0
es,es,0.0
my,my,0.0
gb,ie,615.0
gr,gr,0.0
be,be,0.0
ru,ru,0.0
gb,nl,645.0
gb,de,1178.0
pk,gb,494.0
it,us,860.5
dk,dk,0.0
br,gb,501.0
cn,my,333.0
nl,ca,81.0
cn,jp,643.0
nl,es,288.0
za,in,33.0
id,au,291.0
fr,ch,582.0
pk,se,31.0
br,pt,1146.0
es,cn,146.0
de,gb,1164.0
bd,us,1664.0
be,dk,66.0
za,cn,13.0
gr,ch,57.0
bd,kr,109.0
in,pt,57.0
cn,it,235.0
se,de,295.0
ie,us,242.0
my,it,8.0
ie,be,39.0
jp,cn,476.0
se,nl,139.0
gb,au,864.5
nl,cn,218.0
dk,us,212.0
us,tw,296.0
co,br,340.0
se,fr,124.0
es,mx,326.0
in,gb,1639.0
br,se,97.0
in,se,260.0
au,br,55.5
gb,fr,669.0
jp,ca,97.0
cl,it,54.0
id,nl,107.0
pt,dk,59.0
it,dk,166.0
tw,cn,77.0
de,pt,146.0
in,pl,211.0
de,ec,15.0
de,pl,149.0
be,us,307.0
de,se,347.0
it,be,313.0
de,id,29.0
ir,br,14.0
ir,fi,93.0
au,bd,80.0
ar,ec,122.0
us,ir,24.0
it,co,35.0
de,eg,53.0
br,pe,132.0
nl,in,39.0
kr,jp,117.0
se,ie,30.0
au,fi,26.0
tr,bd,19.0
es,ca,112.0
tr,fi,61.0
id,de,42.0
pe,jp,22.0
us,pk,124.0
eg,ca,60.0
pk,pl,45.0
fi,jp,23.0
pe,ar,94.0
at,pk,11.0
pt,us,209.0
pt,be,128.0
pl,it,135.0
tw,ca,37.0
in,id,23.0
ec,br,77.0
ng,my,102.0
ca,pk,20.0
ar,pe,71.0
cl,ar,124.0
fr,cl,65.0
fr,at,98.0
kr,my,22.0
ar,gb,51.0
eg,cn,68.0
ca,ir,20.0
ng,it,19.0
jp,es,58.0
gr,at,16.0
br,pl,37.0
mx,at,18.0
fr,za,16.0
at,tw,2.0
dk,be,48.0
pk,id,28.0
bd,dk,19.0
id,ie,8.0
br,ec,46.0
tw,mx,3.0
it,kr,19.0
fr,gr,42.0
es,in,40.0
tw,in,68.0
mx,ch,30.0
eg,es,24.0
fi,it,51.0
de,pe,21.0
pe,it,21.0
my,jp,53.0
za,ca,64.0
se,au,63.0
cl,jp,7.0
ar,pl,7.0
ru,br,18.0
de,ua,54.0
fr,tr,38.0
mx,cl,97.0
ie,dk,22.0
nl,mx,8.0
ng,jp,17.0
jp,in,120.0
in,ng,36.0
ru,fi,50.0
ar,se,13.0
ch,tw,11.0
br,ng,15.0
pk,pt,31.0
co,fi,11.0
br,ua,1.0
ch,pk,7.0
kr,it,27.0
id,fr,12.0
eg,in,7.0
dk,kr,6.0
ch,ir,7.0
ir,ru,20.0
pl,jp,29.0
bd,be,13.0
ru,bd,4.0
jp,mx,12.0
tr,ru,9.0
in,eg,4.0
de,ng,13.0
ie,co,2.0
ie,kr,6.0
ua,tw,4.0
tw,es,11.0
za,es,25.0
pt,co,12.0
ec,ru,2.0
pl,my,8.0
cn,ar,8.0
be,kr,12.0
pt,kr,3.0
dk,co,5.0
ar,pt,14.0
ca,tw,20.0
ua,pk,1.0
gr,tr,7.0
in,ua,1.0
eg,mx,2.0
tr,br,5.0
at,ir,4.0
br,eg,1.0
mx,tr,1.0
pl,ar,2.0
be,co,8.0
au,ru,1.0
co,ru,3.0
kr,ar,2.0
in,pe,1.0
ir,bd,1.0
ec,fi,2.0
ar,ng,1.0
gr,za,1.0
ec,bd,1.0
ng,ar,1.0
fi,ar,1.0
mx,gr,1.0
gb,cn,1277.0
co,co,0.0
es,fr,549.0
nl,nl,0.0
es,de,605.0
kr,pk,40.0
bd,bd,0.0
ir,dk,74.0
za,nl,77.0
us,jp,643.0
au,us,711.0
za,au,89.0
ir,us,988.0
co,us,714.0
de,ch,1008.0
pt,br,537.0
nl,de,626.0
fr,pl,87.0
de,at,723.0
jp,au,121.0
fr,se,187.0
fr,gb,658.0
ca,jp,81.0
se,cn,114.0
fr,pt,167.0
tr,be,97.0
cn,pk,161.0
gb,es,856.0
jp,de,222.0
in,ch,161.0
gr,se,52.0
gb,ca,527.0
se,in,63.0
au,co,18.0
ar,cl,133.0
gr,gb,178.0
mx,ec,155.0
bd,fi,80.0
ec,us,188.0
my,tw,22.0
ch,it,331.0
tr,us,803.0
es,nl,280.0
gb,in,441.0
nl,au,117.0
ru,us,236.0
za,de,97.0
eg,de,80.0
ir,be,72.0
us,it,584.0
nl,fr,212.0
br,za,15.0
eg,au,26.0
fi,ir,6.0
us,my,68.0
de,za,48.0
br,cl,113.0
be,br,41.0
de,tr,132.0
jp,ie,24.0
it,br,139.0
bd,ru,9.0
es,ie,125.0
mx,pe,110.0
se,es,167.0
us,ar,110.0
it,fi,107.0
gr,pt,14.0
