country_node_id,country_alpha2,springrank_score,flow_out,flow_in,flow_self,flow_total,springrank_rank
61,bs,-0.15173228140591968,145.0,169.0,47.0,361.0,198
94,nl,-0.15219100970787516,37919.5,45337.0,82215.0,165471.5,199
210,ws,-0.15220112631689584,53.0,58.0,34.0,145.0,200
28,be,-0.15351146889577633,24215.0,29761.5,51535.5,105512.0,201
172,um,-0.16040622961539627,65.0,81.0,10.0,156.0,202
131,im,-0.1658931916995241,35.0,44.0,9.0,88.0,203
185,fk,-0.1699228526523659,32.0,38.0,6.0,76.0,204
111,ie,-0.1718715329782567,14269.0,17419.0,31670.0,63358.0,205
118,bn,-0.17260092145788566,413.0,571.0,334.0,1318.0,206
211,sm,-0.17324513964476487,56.0,75.0,11.0,142.0,207
167,vu,-0.17349727388163716,60.0,69.0,33.0,162.0,208
34,ee,-0.17466308864049723,1915.0,2405.0,5150.5,9470.5,209
22,us,-0.17691157545676453,225535.0,320406.0,1.3915995e6,1.9375405e6,210
242,gf,-0.17691786902109524,115.0,146.0,50.0,311.0,211
234,gu,-0.17761227337769184,75.0,80.0,35.0,190.0,212
182,gp,-0.17846508595539223,129.0,171.0,88.0,388.0,213
117,at,-0.18078664124370347,16777.0,20513.0,38358.0,75648.0,214
183,nz,-0.18314097055620338,9897.5,11927.0,27875.0,49699.5,215
221,ad,-0.18629093501911212,150.0,188.0,117.0,455.0,216
114,kw,-0.1952779700817992,1556.0,2061.0,1453.0,5070.0,217
97,hk,-0.1985953785723768,13542.5,19292.0,19297.0,52131.5,218
193,aw,-0.1988249626726568,52.0,67.0,9.0,128.0,219
57,pf,-0.20019216921763155,94.0,121.0,53.0,268.0,220
52,sb,-0.2003729789988476,58.0,70.0,28.0,156.0,221
132,gd,-0.20088896303268355,387.0,435.0,76.0,898.0,222
179,li,-0.20455740697147373,147.0,167.0,51.0,365.0,223
236,je,-0.20476124787723626,48.0,60.0,21.0,129.0,224
180,mh,-0.20699800748164873,15.0,20.0,4.0,39.0,225
93,mo,-0.2073943036891166,1296.0,1920.0,736.0,3952.0,226
83,ky,-0.21179881226572755,52.0,69.0,7.0,128.0,227
138,nc,-0.21202553362374701,149.0,193.0,62.0,404.0,228
136,au,-0.22025090792416777,43928.5,64280.0,205751.0,313959.5,229
239,bm,-0.2250998237612208,61.0,77.0,12.0,150.0,230
3,se,-0.2277448036025254,23103.5,31597.5,59738.5,114439.5,231
105,ch,-0.22969510199949394,34217.0,46036.5,57012.0,137265.5,232
4,is,-0.23604630920039937,1434.0,1733.0,2554.0,5721.0,233
125,ae,-0.24981531438808374,6216.0,10517.0,7492.5,24225.5,234
23,fi,-0.2624373578501659,9678.5,14578.0,55716.0,79972.5,235
241,yt,-0.2629195862461617,20.0,29.0,3.0,52.0,236
139,qa,-0.269757183881057,2619.0,4429.0,2918.0,9966.0,237
161,no,-0.279508235369611,8942.0,13413.0,26560.0,48915.0,238
35,dk,-0.28112679471938967,14591.5,21313.5,62410.0,98315.0,239
225,nu,-0.29196654690936324,3.0,5.0,2.0,10.0,240
228,sj,-0.29910351647020383,84.0,106.0,19.0,209.0,241
237,cc,-0.3332893462257277,3.0,8.0,0.0,11.0,242
123,gl,-0.35053917944679447,100.0,128.0,43.0,271.0,243
72,lu,-0.3579761809366356,2194.0,3874.0,2263.0,8331.0,244
219,gi,-0.3837608765182038,30.0,56.0,14.0,100.0,245
248,tv,-0.39478799053095487,6.0,12.0,0.0,18.0,246
224,fo,-0.39608070097055076,71.0,100.0,64.0,235.0,247
246,nf,-0.4604606177438311,3.0,8.0,0.0,11.0,248
249,pm,-1.2277447913250694,0.0,1.0,0.0,1.0,249
